"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"25651","\N","000000025651","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22541","5726","000000022541","\N","10","23","4","3766","","2034-12-31 00:00:00","\N","\N","160","2014"
"25652","\N","000000025652","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25653","\N","000000025653","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25654","\N","000000025654","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25316","\N","000000025316","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20620","5612","000000020620","\N","10","23","4","3817","","2026-12-31 00:00:00","\N","\N","132","2006"
"25317","\N","000000025317","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25655","\N","000000025655","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"18667","5337","000000018667","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"25318","\N","000000025318","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25656","\N","000000025656","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27478","\N","000000027478","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27479","\N","000000027479","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20621","5579","000000020621","\N","10","23","4","3817","","2026-12-31 00:00:00","\N","\N","132","2006"
